PATTERN,COUNT
D0586723U0090402_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_TAGINQUIRE_904,1
D0586947U0003201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_CELLSTR_FX_S_032,1
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,16
D0586950U0004701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALDIAG_FY_S_047,6
D0586953U0004601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALROW_FY_S_046,4
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,60
D0586957U0004901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECROW_FY_S_049,6
D0586958U0003601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_HAMMER_FX_C_036,1
D0586961U0003501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_HAMMER10_FX_S_035,2
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,50
D0586964U0019101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_CS_191,4
D0586967U0018701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_C_187,3
D0586968U0019301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_CS_193,5
D0586970U0019201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_S_192,1
D0586972U0001601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FX_CS_016,2
D0586973U0002101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FX_S_021,1
D0586982U0003001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FX_S_030,2
D0586983U0003101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FY_S_031,3
D0586984U0006901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_C_069,2
D0586985U0006701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_CS_067,1
D0586986U0006801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_RS_068,5
D0586988U0008901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_C_089,2
D0586989U0008701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_CS_087,5
D0586991U0008601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_S_086,2
D0586997U0001501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MATSPP_FY_S_015,6
D0586998U0004101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MOVIFULL_FY_S_041,21
D0587000U0002401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FX_CS_024,2
D0587001U0002501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FX_RS_025,1
D0587005U0002901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_PMOVI_FY_RS_029,2
D0587010U0017001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_RAFTERW_FX_S_170,1
D0587012U0018801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_RAFTERW_FY_C_188,1
D0587014U0017501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_RAFTERW_FY_RS_175,3
D0587019U0000501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SCAN_FY_C_005,1
D0587022U0038701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CF_FY_S_387,1
D0587023U0038401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CFDS_FX_S_384,2
D0587024U0038501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CFDS_FY_S_385,2
D0587041U0038201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_LONG_FX_S_382,1
D0587048U0003401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SLIDEDIAG_FY_S_034,5
D0587049U0018301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_STATIC_FX_C_183,9
D0587062U0004001_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_TOWALK2_FY_S_040,1
D0587065U0004301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKCOL_FX_S_043,8
D0587066U0004401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKDIAG_FY_S_044,3
D0587067U0004201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKROW_FY_S_042,27
D0587123U0001304_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_MATSP_DW_FX_S_013,2
D0587215U0018403_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_LINKED_FX_C_184,27
D0587322U0000602_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_BUTTERFLY_FX_S_006,1
D0587340U0018402_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_LINKED_FX_C_184,5
D0587362U0003002_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_MARCHG_FX_S_030,1
D0618416U0000601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_BUTTERFLY_FX_S_006,2
D1242172U0091401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_2C_914,9
D1242174U0091501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_3C_915,60
D1242176U0091601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_4C_916,4
