PATTERN,COUNT
D0586945U0000801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_BUTTERFLYWR_FX_S_008,1
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,3
D0586950U0004701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALDIAG_FY_S_047,1
D0586953U0004601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALROW_FY_S_046,8
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,14
D0586958U0003601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_HAMMER_FX_C_036,1
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,12
D0586964U0019101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_CS_191,1
D0586968U0019301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FY_CS_193,1
D0586983U0003101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHG_FY_S_031,8
D0586984U0006901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_C_069,2
D0586985U0006701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_CS_067,1
D0586986U0006801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_RS_068,2
D0586989U0008701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_CS_087,1
D0586998U0004101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MOVIFULL_FY_S_041,11
D0587031U0037901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SIWS_CFTR_FY_S_379,1
D0587048U0003401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SLIDEDIAG_FY_S_034,1
D0587049U0018301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_STATIC_FX_C_183,1
D0587065U0004301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKCOL_FX_S_043,2
D0587067U0004201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKROW_FY_S_042,16
D0587159U0037904_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_SIWS_CFTR_FY_S_379,1
D0587208U0004803_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_GALWRECCOL_FX_S_048,1
D0587253U0004103_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_MOVIFULL_FY_S_041,1
D0587416U0037902_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_SIWS_CFTR_FY_S_379,1
D1242172U0091401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_2C_914,8
D1242174U0091501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_3C_915,744
