PATTERN,COUNT
D0586949U0004501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALCOL_FX_S_045,2
D0586953U0004601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALROW_FY_S_046,2
D0586956U0004801_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_GALWRECCOL_FX_S_048,4
D0586963U0018401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_LINKED_FX_C_184,7
D0586984U0006901_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_C_069,2
D0586985U0006701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FX_CS_067,1
D0586989U0008701_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHSR_FY_CS_087,1
D0587048U0003401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_SLIDEDIAG_FY_S_034,3
D0587049U0018301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_STATIC_FX_C_183,1
D0587065U0004301_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKCOL_FX_S_043,1
D0587067U0004201_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_WALKROW_FY_S_042,3
D0587068U0006101_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_XDECODE_FX_S_061,1
D0587126U0004104_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_LRU_MOVIFULL_FY_S_041,1
D0587249U0001303_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_STA_MATSP_DW_FX_S_013,1
D0587360U0002002_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_TAG_MARCHC_GC_FX_S_020,1
D1242172U0091401_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_2C_914,3
D1242174U0091501_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_3C_915,793
D1242176U0091601_014242_PA03DP_FTXXX_US12B1X0XXXXXXXXX_UL1_DAT_MARCHC_FXB_C_4C_916,1
