P2503098,G1650773P2503098_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_35_MT1,1
P2445100,G1694566P2445100_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,1
P2433836,G1679431P2433836_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_URDR_UWDR_CONFLICTS_DIFFJMPS,1
P2251288,G1650433P2251288_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_NO_APIC_INTA,1
P2437046,G1683303P2437046_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT4A,2
P2222828,G1690227P2222828_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_PARTIAL_WRITE_1,1
P2449070,G1653164P2449070_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_GEN_EXT_ORP_000,1
P2801765,G1686794P2801765_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_PBIST_CODE,1
P2260378,G1672551P2260378_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_RM_CMPS,1
P2430454,G1674361P2430454_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
P2502408,G1694947P2502408_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_SPHIT_18_MT1,1
P2387570,G1690515P2387570_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ADDPD_660F58_PROT_OPCOV,1
P2437746,G1679184P2437746_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TMR_CLEAR_G1,1
P2253888,G1676148P2253888_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CLD_STD_FC_FD_ISA_FN_P_01,1
P2325258,G1701275P2325258_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__FRITS_C2M_RW_CRS_ORP_001,1
P2324968,G1697006P2324968_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_RLB_R_W_ACCESS_ORP_003,1
P2802218,G1697442P2802218_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_EACHBIT_PBIST_DATA,1
P2570872,G1694276P2570872_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC,2
P2496908,G1681091P2496908_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_37_MT1,1
P2246668,G1681068P2246668_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_READ_RSP_STPCLK,1
P2262178,G1682356P2262178_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UXDSEU,1
P2468204,G1701756P2468204_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_RHINE_RAND_006,1
P2259438,G1686493P2259438_014444_PL01DF_FTXXX_US1PM1X0XXXHXXXXX_GEN8WMT_J,1
P2242438,G1689191P2242438_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_EMON,9
P2210378,G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF,4
P2222848,G1650256P2222848_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_ARB_PRI_AGENT,1
P2479878,G1690157P2479878_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOB_EMON_BASIC_09,1
P2494928,G1693252P2494928_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_MOLLARYM_LB_CAM1_HIT_09_MT0,1
P2218558,G1696863P2218558_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IDIV_F6_7_MEM_ISA_EX_LONG_2,1
P2479778,G1680154P2479778_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOB_EMON_BASIC_02,1
P2504408,G1682498P2504408_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_MOS_SASEGARYM_FLASHCOPY_FDS_HIGHBITS_,1
P2245128,G1686812P2245128_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FA_DIRECTED_NORMD_X87,2
P2259428,G1683451P2259428_014444_PL01DF_FTXXX_US1PM1X0XXXHXXXXX_JCC_BLIP_NLIP_LOOP1,6
P2501378,G1678567P2501378_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MOS_SATAGARYM_THREAD_VALID_CLEAR_3,1
P2222988,G1684103P2222988_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_RETRY_FEW_READ_TRANS,1
P2501988,G1677432P2501988_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM1_SPHIT_12_MT1,1
