P2244668,G1679427P2244668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_MMX1,3
P2245088,G1706779P2245088_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_DRCAM_MIS_ST3_FT_T0,1
P2468114,G1694958P2468114_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_RHINE_RAND_003,1
P2445100,G1694566P2445100_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS_SNP_PWRDN,11
P2246048,G1681829P2246048_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGEB4K_SHARED_WALK,1
P2400680,G1682914P2400680_014444_PL01DV_FTXXX_US1XM1X0XXXHXXXXX_BAV_NO_APIC_PART_LOCK_STPCLK,2
P2430694,G1683141P2430694_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
P2244648,G1692182P2244648_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FDIV_MARCHING1S,1
P2484488,G1691635P2484488_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_UT_ALLSETS_UNCOND_LOGIC_1,15
P2430034,G1677769P2430034_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,2
P2496148,G1703992P2496148_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_SATAGARYM_LA_CAM_HIGHBITS_4,38
P2468234,G1681337P2468234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL1_RHINE_RAND_000,1
P2329788,G1679581P2329788_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_PMH_FT_T1__FRITS_C2M_RW_VARMTRR_ORP_0,1
P2255518,G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,13
P2469074,G1694819P2469074_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RIGHT_ARRAYS_LOGIC_1,1
P2251288,G1650433P2251288_014444_PL01DV_FTXXX_US12M1X0XXXAXXXXX_BAV_NO_APIC_INTA,1
P2437046,G1683303P2437046_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT4A,37
P2398064,G1673955P2398064_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_AGL0_CMV_4_0339610,1
P2324308,G1678278P2324308_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_1_5PL2_RLB_L1EVICT_L2READ,1
P2496258,G1680823P2496258_014444_PL01DF_FTXXX_US1XM1X2XXXQXXXXX_MOS_MOLLARYM_LB_CAM0_HIT_22_MT1,1
P2449470,G1677993P2449470_014444_PL01DF_FTXXX_US1XM1X1XXXHXXXXX_YT3_PREFQ_T1,1
P2245538,G1692695P2245538_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_IF_ALU_TOGGLE1,5
P2256008,G1682297P2256008_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PAGE_AD_PF,2
P2431904,G1692972P2431904_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MITE_CREG_PATCH3_02,1
P2468324,G1697412P2468324_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_PL1_RHINE_RAND_000,1
P2261498,G1701835P2261498_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_GXXNDM,3
P2387570,G1690515P2387570_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ADDPD_660F58_PROT_OPCOV,1
P2259178,G1676658P2259178_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_RRRR_MPRED_UMPRED,1
P2434006,G1686176P2434006_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DPU_UL1_LONG_BUS_20D,2
P2434266,G1685009P2434266_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOSLARYM_SMC_PA_CAM_BITS_SPLIT_1_,1
P2474788,G1691724P2474788_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_DOUBLE_ISR5,2
P2383400,G1690767P2383400_014444_PL01DF_FTXXX_US1XM1X0XXXGXXXXX_CREG_WRITE_WRITE_WRITE_SELFCHECK,1
