P2252238,G1692975P2252238_014444_PL01DV_FTXXX_US1XM1X1XXXQXXXXX_BAV_APIC_PRI12_FIXED,1
P2498278,G1675908P2498278_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DATAGD_SNP_STRB_BITS25_28,1
P2397184,G1691281P2397184_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_INTR_DOUBLE_IRR,12
P2430694,G1683141P2430694_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
P2468234,G1681337P2468234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SAAT_FT_PL1_RHINE_RAND_000,10
P2469074,G1694819P2469074_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_RIGHT_ARRAYS_LOGIC_1,11
P2437046,G1683303P2437046_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_ISROUTPUT4A,13
P2449470,G1677993P2449470_014444_PL01DF_FTXXX_US1XM1X1XXXHXXXXX_YT3_PREFQ_T1,8
P2244218,G1694712P2244218_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_ARITH8,29
P2433896,G1681165P2433896_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BPBTPRGLMRGBS_LOGIC_NOTTAKEN,1
P2259788,G1684425P2259788_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CD1NW1,5
P2396254,G1679368P2396254_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_INTR_LEVEL_A,12
P2260398,G1671970P2260398_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ALF_EMON,2
P2244498,G1683714P2244498_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PIC_WB_PROT_MODE_TEMPLATE_MT,62
P2452240,G1690840P2452240_014444_PL01DF_FTXXX_US1XM1X1XXXQXXXXX_TBPU_CR_LBR_IPD_REV2_T1,1
P2213088,G1689427P2213088_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ADDRESSING_REGISTER_COMBINATIONS_64BI,1
P2430064,G1693092P2430064_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BUS1_PREFQTUNE3,1
P2329468,G1694636P2329468_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_WOB,7
P2478698,G1698886P2478698_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOB_FT_PL2_RHINE_RAND_020,12
P2324618,G1678017P2324618_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_T0_WCB_EVICTIONS_ORP_001,1
P2479918,G1678374P2479918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_MOS_MOB_EMON_BASIC_12,1
P2422612,G1677215P2422612_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSB_CREG_SET2_T0,28
P2405000,G1680296P2405000_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_REG_OTHER_APICBASE,94
P2396844,G1693392P2396844_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_TIMER_PERIODIC,12
P2262938,G1681128P2262938_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CALLCHECK_GLOB_CPL2_DPL2_RPL2,2
P2324648,G1695117P2324648_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_T0__B4M_AD_EMON_ORP_002,1
P2808864,G1676448P2808864_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_HE_64BIT_GENERIC_INT_MT,1
P2259318,G1673532P2259318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_T0_ZT_T0,12
P2253138,G1679745P2253138_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TBT_NON_BRANCH,12
P2244258,G1688376P2244258_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_FAX_ARITH1,3
