P2252728,G1684518P2252728_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BSU_L1L2EVICTS,1
P2449470,G1677993P2449470_014444_PL01DF_FTXXX_US1XM1X1XXXHXXXXX_YT3_PREFQ_T1,1
P2468324,G1697412P2468324_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UL1_FT_PL1_RHINE_RAND_000,1
P2261478,G1690438P2261478_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ALAL,3
P2437746,G1679184P2437746_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TMR_CLEAR_G1,1
P2430274,G1693058P2430274_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,1
P2246788,G1683655P2246788_014444_PL01DV_FTXXX_UX1XM1X0XXXHXXXXX_BAV_WAIT4SIPI_STPCLK_SLP,1
P2261928,G1686449P2261928_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_VME1_IASM,17
P2396854,G1688895P2396854_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_TIMER_ONESHOT,1
P2448630,G1679800P2448630_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_MODPAGD_PAGE_SPLIT_MT_4,1
P2249118,G1689920P2249118_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CMOVNB_AE_NC_0F43_MODRM_00_R,3
P2468204,G1701756P2468204_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_PMH_FT_RHINE_RAND_006,1
P2210378,G1696630P2210378_014444_PL01DW_FTXXX_US1XM1X0XXXHXXXXX_PAGE_RSVD_BITS_PF,2
P2245948,G1688206P2245948_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_DAC_SNOOP_HITBIT14,1
P2452700,G1681480P2452700_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_TD_PROT_MODE_SYSCALL_MT_812389931,2
P2422612,G1677215P2422612_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSB_CREG_SET2_T0,3
P2329388,G1685551P2329388_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FSPIMUX3,1
P2802234,G1690911P2802234_014444_PL01DF_FUXXX_UX1XM1X0XXXHXXXXX_UL1_SINGLEBITECC_EACHBIT_PBIST_DATA,2
P2257668,G1693931P2257668_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TEST_F7_0_ISA_DS_P_02,1
