P2527218,G1411236P2527218_014040_PK03DC_LBXXX_US1XM1X0XXXIXXXXX_FRITS_FLAME_FSFB_STLD,2
P2266478,G1423320P2266478_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FPUMMX_NOPRELOAD_LM0_ORP_000,6
P2436746,G1411285P2436746_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CREG_FRITS_TEST6_ORP_000,1
P2527248,G1411229P2527248_014040_PK03DC_LBXXX_US1XM1X0XXXIXXXXX_FRITS_MMXWNI,1
P2231028,G1407251P2231028_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_CACHE_LINE_SPLIT_ORP_004,1
P2231838,G1412078P2231838_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_INT4_SBFT,1
P2473628,G1642530P2473628_014040_PL01DB_FBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALL_RET2,7
P2236408,G1403363P2236408_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WMT_SBFT_TCTAGD_PRECEV2,1
P2234528,G1403564P2234528_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FISSDBM_3_SBFT,1
P2475748,G1404446P2475748_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_IQIQCREGS_DAT0_FIX0,1
P2389068,G1405026P2389068_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_ORP_090,1
P2482232,G1426204P2482232_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_FRITS_T1_IQSSU_FILLFIFO_PORT0A0B1A1B_,1
P2241158,G1403539P2241158_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_TD_TB_NLIP_OLDLIPI_T1,1
P2473718,G1405520P2473718_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALL_RET11,1
P2240088,G1404491P2240088_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_KNI9_SBFT,18
