P2520628,D1504054P2520628_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_NDET_5_STATPG,1
P2516918,D1499485P2516918_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_6_STATPG,1
P2520698,D1499531P2520698_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_2_STATPG,6
P2532670,D1499463P2532670_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_AZTEC_STATPG,5
P2516898,D1499482P2516898_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_4_STATPG,4
P2519608,D1504026P2519608_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_NDET_2_STATPG,1
P2520708,D1499533P2520708_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_3_STATPG,1
P2516178,D1504013P2516178_012020_PK04DG_FTXXX_UX1XM1X0SS0XXXXXX_MS_PH1PH2_BRIDGE,3
P2520818,D1499534P2520818_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_5_STATPG,1
P2469866,D1499456P2469866_012020_PK04DG_FTXXX_UX1XM1X0SD0XXXXXX_FMXD_PH1PH2_STATPG,6
P2532830,D1503982P2532830_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_AZTEC_STATPG,5
P2519648,D1504023P2519648_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_NDET_6_STATPG,1
P2517098,D1499486P2517098_012020_PK04DG_FTXXX_UX1XM1X0SD0XXXXXX_FMXD_PH1PH2_NDET_2_STATPG,2
P2520788,D1499548P2520788_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_2_STATPG,1
P2466944,D1499454P2466944_012020_PK04DG_FTXXX_UX1XM1X0SF0XXXXXX_IEF_PH1PH2_STATPG,1
P2520718,D1499530P2520718_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_4_STATPG,1
P2520258,D1499542P2520258_012020_PK04DG_FTXXX_UX1XM1X0SM0XXXXXX_FARM_PH1PH2_NDET_4_STATPG,2
P2520458,D1505069P2520458_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_NDET_6_STATPG,2
P2520808,D1499529P2520808_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_NDET_4_STATPG,3
P2520358,D1499524P2520358_012020_PK04DG_FTXXX_UX1XM1X0SS0XXXXXX_MS_PH1PH2_NDET_5_STATPG,1
P2474818,D1499455P2474818_012020_PK04DG_FTXXX_UX1XM1X0SI0XXXXXX_IEX_PH1PH2_STATPG,2
P2533260,D1499526P2533260_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_NDET_5_STATPG,2
P2520238,D1499517P2520238_012020_PK04DG_FTXXX_UX1XM1X0SM0XXXXXX_FARM_PH1PH2_NDET_2_STATPG,2
P2505158,D1499511P2505158_012020_PK04DG_FTXXX_UX1XM1X0SC2XXXXXX_TC_PH2_NDET_3_STATPG,1
P2520548,D1499537P2520548_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_6_STATPG,1
P2517348,D1504039P2517348_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_2_STATPG,3
P2517248,D1499474P2517248_012020_PK04DG_FTXXX_UX1XM1X0SI0XXXXXX_IEX_PH1PH2_NDET_3_STATPG,1
P2504908,D1499506P2504908_012020_PK04DG_FTXXX_UX1XM1X0SC4XXXXXX_TC_PH1_NDET_2_STATPG,78
P2519638,D1504028P2519638_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_NDET_5_STATPG,1
P2516888,D1499480P2516888_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_NDET_3_STATPG,4
P2517088,D1505063P2517088_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_BRIDGE,2
P2515418,D1504019P2515418_012020_PK04DG_FTXXX_UX1XM1X0ST4XXXXXX_RALF_PH1_BRIDGE,1
P2520618,D1504048P2520618_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_NDET_4_STATPG,1
P2520528,D1499544P2520528_012020_PK04DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_4_STATPG,1
P2477178,D1503991P2477178_012020_PK04DG_FTXXX_UX1XM1X0SI0XXXXXX_IEX_PH1PH2_STATPG_BRIDGE,7
P2520728,D1499536P2520728_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_5_STATPG,2
