P2466344,D1499447P2466344_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_STATPG,1
P2520888,D1797506P2520888_012020_PL01DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_AZTEC_STATPG,27
P2365730,D1499427P2365730_012020_PK04DG_FTXXX_UX1XM1X0SM4XXXXXX_FARM_PH1_STATPG,204
P2520738,D1499535P2520738_012020_PK04DG_FTXXX_UX1XM1X0SU0XXXXXX_DPU_PH1PH2_NDET_6_STATPG,3
P2517368,D1504043P2517368_012020_PK04DG_FTXXX_UX1XM1X0S14XXXXXX_BUS1_PH1_NDET_4_STATPG,1
P2347622,D1499445P2347622_012020_PK04DG_FTXXX_UX1XM1X0SO2XXXXXX_MOS_PH2_ISO_STATPG,13
P2468964,D1499459P2468964_012020_PK04DG_FTXXX_UX1XM1X0SK0XXXXXX_CRUCHK_PH1PH2_STATPG,13
P2520508,D1797544P2520508_012020_PL01DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_2_STATPG,3
P2520538,D1797543P2520538_012020_PL01DG_FTXXX_UX1XM1X0SP0XXXXXX_PIX_PH1PH2_NDET_5_STATPG,1
P2347582,D1499446P2347582_012020_PK04DG_FTXXX_UX1XM1X0SK4XXXXXX_CRUCHK_PH1_STATPG,272
P2345844,D1501207P2345844_012020_PK04DG_FTXXX_UX1XM1X0ST2XXXXXX_RALF_PH2_STATPG,5
P2469244,D1503998P2469244_012020_PK04DG_FTXXX_UX1XM1X0SP4XXXXXX_PIX_PH1_STATPG_BRIDGE,1
P2349142,D1499432P2349142_012020_PK04DG_FTXXX_UX1XM1X0SI2XXXXXX_IEX_PH2_STATPG,11
P2363472,D1499435P2363472_012020_PK04DG_FTXXX_UX1XM1X0SS4XXXXXX_MS_PH1_STATPG,172
P2475218,D1503997P2475218_012020_PK04DG_FTXXX_UX1XM1X0SD0XXXXXX_FMXD_PH1PH2_STATPG_BRIDGE,2
P2532840,D1503992P2532840_012020_PK04DG_FTXXX_UX1XM1X0SO0XXXXXX_MOS_PH1PH2_ISO_STATPG_BRIDGE,4
P2520448,D1505070P2520448_012020_PK04DG_FTXXX_UX1XM1X0SQ0XXXXXX_IQSSU_PH1PH2_NDET_5_STATPG,11
P2365740,D1499429P2365740_012020_PK04DG_FTXXX_UX1XM1X0SM2XXXXXX_FARM_PH2_STATPG,34
P2347542,D1499423P2347542_012020_PK04DG_FTXXX_UX1XM1X0SU4XXXXXX_DPU_PH1_STATPG,263
P2363562,D1499438P2363562_012020_PK04DG_FTXXX_UX1XM1X0SD4XXXXXX_FMXD_PH1_STATPG,48
P2505888,D1503989P2505888_012020_PK04DG_FTXXX_UX1XM1X0SB0XXXXXX_BPI_PH1PH2_STATPG_BRIDGE,2
P2466874,D1503979P2466874_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_STATPG,6
P2516968,D1504029P2516968_012020_PK04DG_FTXXX_UX1XM1X0SE4XXXXXX_TBPU_PH1_STATPG_BRIDGE,4
P2532810,D1505064P2532810_012020_PK04DG_FTXXX_UX1XM1X0ST0XXXXXX_RALF_PH1PH2_AZTEC_STATPG,5
