Lstep Test instances1,Lstep Patlist1,Hstep Test Instances (TTRed),Hstep Patlist (TTRed)
FF_Xship_011414_minmin_1331867_0227,nested_ddrdy_011414_list,FF_Xship_011414_minmin_1331867_0227,nested_ddrdy_011414_list
FF_Xship_011414_minmin_1331867_0253,nested_ddrdy_011414_list,FF_Xship_011414_minmin_1331867_0253,nested_ddrdy_011414_list
FF_Xship_011515_minmin_1332000_0227,nested_ddrdy_011515_list,FF_Xship_011515_minmin_1332000_0227,nested_ddrdy_011515_list
FF_Xship_011515_minmin_1332000_0253,nested_ddrdy_011515_list,FF_Xship_011515_minmin_1332000_0253,nested_ddrdy_011515_list
FF_Xship_011616_minmin_1332133_0227,nested_ddrdy_011616_list,FF_Xship_011616_minmin_1332133_0227,nested_ddrdy_011616_list
FF_Xship_011616_minmin_1332133_0253,nested_ddrdy_011616_list,FF_Xship_011616_minmin_1332133_0253,nested_ddrdy_011616_list
FF_bf_014444_maxmax_552400_0528,full_014444_list,FF_bf_014444_maxmax_552400_0528,full_014444_list
FF_bf_014444_maxmax_552400_0739,full_014444_list,FF_bf_014444_maxmax_552400_0739,full_014444_list
FF_bf_014444_maxmax_552400_0754,full_014444_list,FF_bf_014444_maxmax_552400_0754,full_014444_list
FF_bf_014444_minmin_552400_0527,full_014444_list,FF_bf_014444_minmin_552400_0527,full_014444_list
FF_bf_014444_minmin_552400_0738,full_014444_list,FF_bf_014444_minmin_552400_0738,full_014444_list
FF_bf_014444_minmin_552400_0753,full_014444_list,FF_bf_014444_minmin_552400_0753,full_014444_list
FF_ft_opens_sktN,shorts_list,FF_ft_opens_sktN,shorts_list
FF_ft_opens_sktT,shorts_list,FF_ft_opens_sktT,shorts_list
FF_ft_shorts_sktN,shorts_list,FF_ft_shorts_sktN,shorts_list
FF_ft_shorts_sktT,shorts_list,FF_ft_shorts_sktT,shorts_list
FuseRead_ULT_ff,fuse_read_por_list,FuseRead_ULT_ff,fuse_read_por_list
PSC_ACIOLB_SS_maxvcc,aciolb_list,PSC_ACIOLB_SS_maxvcc,aciolb_list
Substep_ID,substepping_id_list,Substep_ID,substepping_id_list
Thermalsensor,thermal_sensor_list,Thermalsensor,thermal_sensor_list
VIDFSB_leak_hi_catlkg,leakage_012424_list,VIDFSB_leak_hi_catlkg,leakage_012424_list
VIDFSB_leak_hi_catlkg,leakage_012424_list,VIDFSB_leak_hi_catlkg,leakage_012424_list
VIDFSB_leak_hi_catlkg_Dmix,leakage_012424_list,VIDFSB_leak_hi_catlkg_Dmix,leakage_012424_list
VIDFSB_leak_hi_catlkg_Dmix,leakage_012424_list,VIDFSB_leak_hi_catlkg_Dmix,leakage_012424_list
Xship_bf133_011919_minmin_1332533_0138,nested_ddrdy_011919_list,Xship_bf133_011919_minmin_1332533_0138,nested_ddrdy_011919_list
Xship_bf133_011919_minmin_1332533_0153,nested_ddrdy_011919_list,Xship_bf133_011919_minmin_1332533_0153,nested_ddrdy_011919_list
Xship_bf133_012020_minmin_1332667_0131,nested_ddrdy_012020_list,Xship_bf133_012020_minmin_1332667_0131,nested_ddrdy_012020_list
Xship_bf133_012020_minmin_1332667_0143,nested_ddrdy_012020_list,Xship_bf133_012020_minmin_1332667_0143,nested_ddrdy_012020_list
Xship_bf133_012121_minmin_1332800_0124,nested_ddrdy_012121_list,Xship_bf133_012121_minmin_1332800_0124,nested_ddrdy_012121_list
Xship_bf133_012121_minmin_1332800_0133,nested_ddrdy_012121_list,Xship_bf133_012121_minmin_1332800_0133,nested_ddrdy_012121_list
Xship_bf133_012121_minmin_1332800_0143,nested_ddrdy_012121_list,Xship_bf133_012121_minmin_1332800_0143,nested_ddrdy_012121_list
Xship_bf133_012121_minmin_1332800_0203,nested_ddrdy_012121_list,Xship_bf133_012121_minmin_1332800_0227,nested_ddrdy_012121_list
Xship_bf133_012121_minmin_1332800_0211,nested_ddrdy_012121_list,Xship_bf133_012121_minmin_1332800_0253,nested_ddrdy_012121_list
Xship_bf133_012121_minmin_1332800_0219,nested_ddrdy_012121_list,Xship_bf133_012222_minmin_1332933_0219,nested_ddrdy_012222_list
