W5083769    188    -3  -4,100
W5083769    175    -4   7,100
W5083769    188    -2  -1,100
W5083769    175     3  -7,200
W5083769    175    -1  -1,200
W5083769    197    -7  -5,100
W5083769    194    11   0,100
W5083769    175     7  -1,100
W5083769    191    -8  -2,100
W5083769    221     8   6,100
W5083769    175    -8  -9,200
W5083769    191    -1  -6,100
W5083769    188     5  -5,100
W5083769    188    -9  -4,100
W5083769    193    -6   8,200
W5083769    175     9   0,200
W5083769    188    -2   0,100
W5083769    188    -5   8,100
W5083769    175    -7  -7,200
W5083769    188     9   4,200
W5083769    191     3  -6,200
W5083769    193    -5   8,100
W5083769    188    -7  -4,100
W5083769    191     7   3,200
W5083769    191     7  -6,100
W5083769    175   -10  -6,100
W5083769    175    -4  -1,100
W5083769    175     4  -4,100
W5083769    191    -4  -6,100
Bravo,BinB
W5083769    194    -8  -9,200
W5083769    188    -5   9,100
W5083769    191     0   0,100
W5083769    188    -8  -4,100
W5083769    188    -3   0,100
W5083769    175     7  -5,200
W5083769    188    -3   9,200
W5083769    175     9  -1,100
W5083769    198    -2  -9,100
W5083769    175    -8  -6,100
W5083769    175    -2  -4,100
W5083769    175   -11  -6,200
W5083769    175    -2  -5,100
W5083769    188    -4  -4,100
W5083769    175   -11  -5,100
W5083769    188    -4   8,100
W5083769    194    10  -1,100
W5083769    175     8  -5,100
W5083769    175    -5   8,100
W5083769    188    -6   9,200
W5083769    188   -10  -4,100
W5083769    175    -9  -5,100
W5083769    188    -2   9,200
W5083769    191    -7  -2,100
W5083769    191    -6  -2,100
W5083769    175    -7  -9,200
W5083769    175    -3  -1,100
W5083769    191    -3  -7,100
W5083769    191    -4  -5,100
W5083769    198    -3  -9,100
W5083769    175     4  -7,100
W5083769    197    -9  -5,100
W5083769    197    -9  -2,100
W5083769    188     7   0,200
W5083769    188    -5  -4,100
W5083769    175     6  -4,100
W5083769    175    -5  -2,100
W5083769    188     0   0,100
W5083769    197    -5  -5,100
W5083769    197    -6  -2,100
W5083769    175    -3  -5,100
W5083769    221   -11   4,200
W5083769    191    -3  -5,100
W5083769    175     6  -5,100
W5083769    191    -3  -4,100
W5083769    175    -2  -1,100
W5083769    175    -6  -6,100
