Module,Parameters,Value,Type,Global/Template/Timing/Levels,Package,SampleType,ProcessorFamily,MarketSegment,CacheSize,BinMatrix,VirtualFactory,Revision,Stepping,EngID,Fab,SSpec,Location
Base,BYPASS_DFFByULT,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7205
Base,BYPASS_DFFByULT,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7205
Base,BYPASS_DFFtoGlobal,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7205
Base,BYPASS_DFFtoGlobal,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7205
Base,BYPASS_DFFtoGlobal_QA,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7205
Base,BYPASS_DFFtoGlobal_QA,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7205
Base,BYPASS_FUSE_BURN_DFFByULT,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_DFFByULT,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_BURN_DFFtoGlobal,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_DFFtoGlobal,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_BURN_PHASE1,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_PHASE1,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_BURN_PHASE2,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_PHASE2,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_BURN_PHASE3,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_PHASE3,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_BURN_PHASE4,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7757
Base,BYPASS_FUSE_BURN_PHASE4,1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,*/-7757
Base,BYPASS_FUSE_READ_CHECK,-1,Global,usrv_FUSE, *,*,*,*,*,*,*,*,*,*,*,*,7751/7752/7753/7754/7764/7765/7766/7780
