Test Template,Test Template Name in TPL,Test Instances in TPL,,,,
iCPowerDownTest,END,END_eos1,-2,-1,0,1
iCPowerDownTest,END,END_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_CMP_Die1,iF_CKTM_SwitchSignature_CMP_Die1_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_FRC_Die1,iF_CKTM_SwitchSignature_FRC_Die1_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_SBFT_Die1,iF_CKTM_SwitchSignature_SBFT_Die1_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_SBFTFRC_Die1,iF_CKTM_SwitchSignature_SBFTFRC_Die1_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_CMP_Die2,iF_CKTM_SwitchSignature_CMP_Die2_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_FRC_Die2,iF_CKTM_SwitchSignature_FRC_Die2_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_SBFT_Die2,iF_CKTM_SwitchSignature_SBFT_Die2_eos0,-2,-1,0,1
iCSwitchSignatureTest,iF_CKTM_SwitchSignature_SBFTFRC_Die2,iF_CKTM_SwitchSignature_SBFTFRC_Die2_eos0,-2,-1,0,1
iCInitTest,INIT,INIT_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Init_Prd_Bins,iF_EXT_Rampage_Init_Prd_Bins_eos0,-2,-1,0,1
iCDAPTest,ApacheDialAProduct,ApacheDialAProduct_eos0,-2,-1,0,1
iCGlXpressTest,ApacheGlobalExpress,ApacheGlobalExpress_eos0,-2,-1,0,1
iCXiuCheckTest,iF_KC_Loadboard_Cal_check,iF_KC_Loadboard_Cal_check_eos0,-2,-1,0,1
iCNGFuseConfigTest,FuseConfig_Init,FuseConfig_Init_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Remap_Init,iF_EXT_Rampage_Remap_Init_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Update_Prd_Bins,iF_EXT_Rampage_Update_Prd_Bins_eos0,-2,-1,0,1
,SwitchSignature_comp_0,SwitchSignature_comp_eos0,-2,-1,0,1
iCUserFuncTest,UF_L2MapParse,UF_L2MapParse_eos0,-2,-1,0,1
iCUserFuncTest,UF_READULT,UF_READULT_eos0,-2,-1,0,1
,Pwrdwn_comp_0,Pwrdwn_comp_eos0,-2,-1,0,1
,Pwrdwn_comp_fail_0,Pwrdwn_comp_fail_eos0,-2,-1,0,1
iCItuffTest,Ituff_end,Ituff_end_eos0,-2,-1,0,1
iCRampageTest,KC_DOWNBIN_CURRENT_FLOW_1_TEST,BEGIN_SPEED_FLOW_1,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Bypass_Port_inst_0,iF_EXT_Rampage_Bypass_Port_inst_0_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Bypass_Port_inst_1,iF_EXT_Rampage_Bypass_Port_inst_1_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Bypass_Pass_inst,iF_EXT_Rampage_Bypass_Pass_inst_eos0,-2,-1,0,1
iCRampageTest,iF_EXT_Rampage_Bypass_Fail_inst,iF_EXT_Rampage_Bypass_Fail_inst_eos0,-2,-1,0,1
iCPowerDownTest,END,END_eos2,-2,-1,0,1
iCUserFuncTest,iF_KC_Cold_Flow_Flag,iF_KC_Cold_Flow_Flag_eos0,-2,-1,0,1
iCUserFuncTest,iF_KC_DatalogSspec,iF_KC_DatalogSspec_eos0,-2,-1,0,1,,,,,
iCSampleRateTest,EDC_sample_rate,EDC_sample_rate_eos1,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Core_PSMI_FF,Fmax_Search_Core_PSMI_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Cache_FF,Fmax_Search_Cache_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_HFM_FF,Fmax_Search_DieSpt_DieSym_HFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_HFM_FF,Fmax_Search_Die0_Die1_HFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_LFM_FF,Fmax_Search_DieSpt_DieSym_LFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_LFM_FF,Fmax_Search_Die0_Die1_LFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Cache_FF,Vmin_Search_Cache_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_DieSpt_DieSym_HFM_FF,Vmin_Search_DieSpt_DieSym_HFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Die0_Die1_HFM_FF,Vmin_Search_Die0_Die1_HFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_DieSpt_DieSym_LFM_FF,Vmin_Search_DieSpt_DieSym_LFM_FF_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Die0_Die1_LFM_FF,Vmin_Search_Die0_Die1_LFM_FF_eos0,-2,-1,0,1,2,,,,
iCShopsTest,ft_shorts,ft_shorts_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,ft_opens_upper,ft_opens_upper_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,ft_opens_lower,ft_opens_lower_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_asyn_cmos_os_M_DC,dc_open_U_short_asyn_cmos_os_M_DC_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_agtl_os_od_bclk_M_DC,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_comp8,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_comp8_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_THRMDA_diode_os,dc_open_U_short_THRMDA_diode_os_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_THRMDC_diode_os,dc_open_U_short_THRMDC_diode_os_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_gtlref_os,dc_open_U_short_gtlref_os_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_all_pins_lower_os_M_DC,dc_OpenLower_all_pins_lower_os_M_DC_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_THRMDA_diode_os,dc_OpenLower_THRMDA_diode_os_eos2,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_gtlref_os,dc_OpenLower_gtlref_os_eos2,-2,-1,0,1,2,3,4,5,6
iCFuncTest,bscan_opens_die1,bscan_opens_die1_eos2,-2,-1,0,1,2,3,4,5,
iCFuncTest,bscan_opens_die2,bscan_opens_die2_eos2,-2,-1,0,1,2,3,4,5,
,SHOPSFLOW_comp_2,SHOPSFLOW_comp_eos2,0,1,,,,,,,
,EDCILDV_comp_FF_0,EDCILDV_comp_FF_eos0,0,1,,,,,,,
iCUserFuncTest,UpdateBinAndResetCoreStatus_Fail,UpdateBinAndResetCoreStatus_Fail_eos3,-2,-1,0,1,,,,,
iCRampageTest,iF_EXT_Rampage_Remap_Bin_FailFlow,iF_EXT_Rampage_Remap_Bin_FailFlow_eos0,-2,-1,0,1,,,,,
iCUserFuncTest,DownbinDetection_QA,DownbinDetection_QA_eos1,-2,-1,0,1,,,,,
iCUserFuncTest,UpdateBinAndResetCoreStatus_Pass,UpdateBinAndResetCoreStatus_Pass_eos3,-2,-1,0,1,,,,,
iCRampageTest,iF_EXT_Rampage_Remap_Bin_PassFlow,iF_EXT_Rampage_Remap_Bin_PassFlow_eos0,-2,-1,0,1,,,,,
iCUserFuncTest,DownbinDetection_QA,DownbinDetection_QA_eos0,-2,-1,0,1,,,,,
iCVccContinuityTest,VCC_Periphery_continuity_ISVM,VCC_Periphery_continuity_ISVM_eos1,-2,-1,0,1,,,,,
iCVccContinuityTest,VCC_Periphery_continuity_ISVM_Re,VCC_Periphery_continuity_ISVM_Re_eos1,-2,-1,0,1,,,,,
iCVccContinuityTest,VCC_Periphery_continuity_ISVM_Decr,VCC_Periphery_continuity_ISVM_Decr_eos1,-2,-1,0,1,,,,,
iCVccContinuityTest,VCC_Periphery_continuity_VSIM,VCC_Periphery_continuity_VSIM_eos1,-2,-1,0,1,,,,,
iCVccContinuityTest,VCCA_continuity,VCCA_continuity_eos1,-2,-1,0,1,,,,,
iCVccContinuityTest,VCC_Fuse_continuity,VCC_Fuse_continuity_eos1,-2,-1,0,1,,,,,
iCShopsTest,ft_shorts,ft_shorts_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,ft_opens_upper,ft_opens_upper_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,ft_opens_lower,ft_opens_lower_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_asyn_cmos_os_M_DC,dc_open_U_short_asyn_cmos_os_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_agtl_os_od_bclk_M_DC,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_comp8,dc_open_U_short_dc_agtl_os_od_bclk_M_DC_comp8_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_THRMDA_diode_os,dc_open_U_short_THRMDA_diode_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_THRMDC_diode_os,dc_open_U_short_THRMDC_diode_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_gtlref_os,dc_open_U_short_gtlref_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC,dc_open_U_short_dc_PROCHOT_FORCEPR_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_all_pins_lower_os_M_DC,dc_OpenLower_all_pins_lower_os_M_DC_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_THRMDA_diode_os,dc_OpenLower_THRMDA_diode_os_eos1,-2,-1,0,1,2,3,4,5,6
iCShopsTest,dc_OpenLower_gtlref_os,dc_OpenLower_gtlref_os_eos1,-2,-1,0,1,2,3,4,5,6
iCFuncTest,bscan_opens_die1,bscan_opens_die1_eos1,-2,-1,0,1,2,3,4,5,
iCFuncTest,bscan_opens_die2,bscan_opens_die2_eos1,-2,-1,0,1,2,3,4,5,
,SHOPSFLOW_comp_1,SHOPSFLOW_comp_eos1,0,1,,,,,,,
,TTR_VCC_Cont_comp_0,TTR_VCC_Cont_comp_eos0,0,1,,,,,,,
iCSampleRateTest,EDC_sample_rate,EDC_sample_rate_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Core_PSMI,Fmax_Search_Core_PSMI_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Cache,Fmax_Search_Cache_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_HFM,Fmax_Search_DieSpt_DieSym_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_HFM,Fmax_Search_Die0_Die1_HFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_DieSpt_DieSym_LFM,Fmax_Search_DieSpt_DieSym_LFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Fmax_Search_Die0_Die1_LFM,Fmax_Search_Die0_Die1_LFM_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_Cache,Vmin_Search_Cache_eos0,-2,-1,0,1,2,,,,
iCSearchTest,Vmin_Search_DieSpt_DieSym_HFM,Vmin_Search_DieSpt_DieSym_HFM_eos0,-2,-1,0,1,2,,,,
