SORT_LOT,SORT_WAFER_ID,SORT_X,SORT_Y,LOT,TOTAL_GOOD,TOTAL_BAD,PROGRAM_NAME,OPERATION,DEVREVSTEP,FUNCTIONAL_BIN,TEST_NAME,PATTERN_NAME,
W4491348,432,-2,-7,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4491348,432,-2,-7,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4491348,432,-2,-7,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4491348,432,-1,6,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4491348,432,-1,6,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4491348,432,-1,6,3511A744,48,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4484668,901,1,0,3511A744,16,1,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4484668,901,1,0,3511A744,16,1,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4484668,901,1,0,3511A744,16,1,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4395849,352,-4,12,3450A812,12,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4395849,352,-4,12,3450A812,12,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4395849,352,-4,12,3450A812,12,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4365088,293,9,1,3450A812,9,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4365088,293,9,1,3450A812,9,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4365088,293,9,1,3450A812,9,1,NOC2MNER3IM914F1,7277,8GGBBVFR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4376599,168,-7,7,3502B105,18,1,PSC2MJMR3IM914F1,7277,8KLBDVFR,1262,BF_014444_NOMNOM_452000_0521,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4376599,168,-7,7,3502B105,18,1,PSC2MJMR3IM914F1,7277,8KLBDVFR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1242,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4376599,168,-7,7,3502B105,18,1,PSC2MJMR3IM914F1,7277,8KLBDVFR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1342,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4503878,070,-5,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4503878,070,-5,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1345013P2429384_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_TD_PROT_MODE_ARRAY_TEST_MT_233455398,
W4503878,070,-5,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4503878,070,-1,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4503878,070,-1,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4503878,070,-1,-4,3518A558,64,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4472138,356,3,3,3518A558,14,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4472138,356,3,3,3518A558,14,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4472138,356,3,3,3518A558,14,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1345780P2469776_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_YT4_DMP_T0_PWRDN,
W4524924,134,5,0,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4524924,134,5,0,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4524924,134,5,0,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4524924,134,-3,3,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4524924,134,-3,3,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4524924,134,-3,3,3518A553,77,2,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1345013P2429384_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_TD_PROT_MODE_ARRAY_TEST_MT_233455398,
W5045638,593,-6,1,3518A553,54,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0534,G1340364P2244138_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_FMXD_ARITH3,
W5045638,593,-6,1,3518A553,54,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1337279P2260258_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_FP_PHE_MT_RAND5,
W5045638,593,-6,1,3518A553,54,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1337279P2260258_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_FP_PHE_MT_RAND5,
W4503878,075,5,6,3507A928,8,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0513,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4503878,075,5,6,3507A928,8,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4503878,075,5,6,3507A928,8,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4503928,584,5,1,3507A928,12,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_014444_NOMNOM_452000_0513,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4503928,584,5,1,3507A928,12,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1346269P2243228_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_IPD_PREFIXES_TEST,
W4503928,584,5,1,3507A928,12,1,NOC2MNER3IM914F1,7277,8GGBDVCR,1262,BF_SIGEN1000_014444_NOMNOM_231000_1341,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4484689,583,-3,2,3508A867,30,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_014444_NOMNOM_452000_0513,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
W4484689,583,-3,2,3508A867,30,2,NOC2MNER3IM914F1,7277,8GGBBVCR,1262,BF_SIGEN1500_014444_NOMNOM_341500_1241,G1399148P2430334_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
