SORT_LOT,SORT_WAFER_ID,SORT_X,SORT_Y,LOT,TOTAL_GOOD,TOTAL_BAD,PROGRAM_NAME,OPERATION,DEVREVSTEP,FUNCTIONAL_BIN,TEST_NAME,PATTERN_NAME,
H4516058,789,-4,3,4515C104,62,1,NOC2MNES1IM921KD,7251,8GGBAVAS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1337753P2466094_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_OFF,
H4516058,789,-4,3,4515C104,62,1,NOC2MNES1IM921KD,7251,8GGBAVAS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1337753P2466094_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_OFF,
H4516058,789,-4,3,4515C104,62,1,NOC2MNES1IM921KD,7251,8GGBAVAS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1338142P2467274_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_BTB_RRSD_CALLS_RETS_LOGIC_1_TC_RRSD_D,
H4516349,636,-5,11,4516C277,38,1,NOC2MNES1IM921KE,7271,8GGBAVS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H4516349,636,-5,11,4516C277,38,1,NOC2MNES1IM921KE,7271,8GGBAVS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H4516349,636,-5,11,4516C277,38,1,NOC2MNES1IM921KE,7271,8GGBAVS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H4516058,785,-2,-8,4515C035,0,1,NOC2MNES1IM921KE,7271,8GGBBVAS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1399179P2431224_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516058,785,-2,-8,4515C035,0,1,NOC2MNES1IM921KE,7271,8GGBBVAS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1340747P2430704_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516058,785,-2,-8,4515C035,0,1,NOC2MNES1IM921KE,7271,8GGBBVAS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1340747P2430704_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516349,636,-5,11,IRWS0BA17,0,1,NOC2MNES1IM921K0,7405,8GGBAVS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H4516349,636,-5,11,IRWS0BA17,0,1,NOC2MNES1IM921K0,7405,8GGBAVS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H4516349,636,-5,11,IRWS0BA17,0,1,NOC2MNES1IM921K0,7405,8GGBAVS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1343481P2438946_014444_PR00DF_FTXXX_US1XB1X0XXXHXXXXX_MOS_SAAT_CR_BASIC_0,
H5011838,630,-9,0,4515C200,98,1,NOC2MNES1IM921K0,7251,8GGBDVAS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1399262P2430384_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H5011838,630,-9,0,4515C200,98,1,NOC2MNES1IM921K0,7251,8GGBDVAS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1399262P2430384_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H5011838,630,-9,0,4515C200,98,1,NOC2MNES1IM921K0,7251,8GGBDVAS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1399262P2430384_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516058,785,-2,-8,IRWS1BB17,0,1,NOC2MNES1IM921K0,7405,8GGBBVAS,1263,BF_SIGEN1000_VID_014444_NOMNOM_231000_0750,G1340747P2430704_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516058,785,-2,-8,IRWS1BB17,0,1,NOC2MNES1IM921K0,7405,8GGBBVAS,1263,BF_SIGEN1000_014444_NOMNOM_231000_0743,G1340747P2430704_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
H4516058,785,-2,-8,IRWS1BB17,0,1,NOC2MNES1IM921K0,7405,8GGBBVAS,1263,BF_SIGEN1500_014444_NOMNOM_341500_0643,G1340747P2430704_014444_PR00DF_FTXXX_US1XB1X2XXXHXXXXX_LOCKRAND_MT_TOGGLE,
