PATTERN,COUNT
G1649021P6013449_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_0000913C_GENERIC_WINXP64_REV2,13
G1652604P2395498_014040_PL01DT_FTXXX_UX1XM1X0XXXXXXXXX_TAP_IDCODE_TMS,4
G1652945P2244318_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FMXD_FAX_ARITH4,1
G1671139P2323998_014444_PL01DF_FBXXX_US1XM1X1XXXQXXXXX_FUNC_EVTPREFQ,1
G1672220P2255508_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_SEG_PRIVILEGE__STACK_SWITCH_RET__0000,4
G1672334P2442918_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_ISMATCHN_PATTERN_MASK_4_5,4
G1672454P2396234_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CREVDETD_MULTEVENTS_T1_2,6
G1672619P2570892_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_CT_ASIZE32_FS_AGU_CARRY_SPECIFIC_2,1
G1673404P2255518_014444_PL01DF_FTXXX_US1XM1X2XXXHXXXXX_LOCK_CNT_BTBTS,1
G1673454P2404040_014444_PL01DV_FTXXX_US1XM1X2XXXHXXXXX_BAV_APIC_BUS_PHY_FIXED,2
G1673993P2483348_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_TC_RESET_CREG,4
G1674578P2448070_014444_PL01DF_FBXXX_US1XM1X0XXXHXXXXX_TBTACD_MATCH_TAG,2
G1674586P2434826_014444_PL01DF_FBXXX_US1XM1X2XXXHXXXXX_S_MART_RANDOM_339911,1
G1674742P2260078_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_FP_FST,2
G1674921P2260358_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BASIC_PM_MOVS,5
G1675119P2448830_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_EXEC_FT_T0__FRITSFPU_RND_EXCEP_ORP_00,1
G1675165P2480868_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_UPPER_MEM_LIP_MATCH,1
G1675456P2756232_014444_PL01DF_FBXXX_UX1XM1X0XXXHXXXXX_T3THR_CVT_GENERIC,1
G1675466P2211598_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BP_8BYTE_LE,2
G1675665P2465244_014444_PL01DF_FTXXX_US1XM1X0XXXHXXXXX_BTB_ROFFM_DEALLOCATION_LOGIC_1,1
