DFF 1.4	Time Sets (Basic)																
																	
	Timing Mode:	Single		Master Timeset Name:													
	Time Domain:																
																	
		Cycle	Pin Group			Data		Drive				Compare			Edge Resolution		
	Time Set	Period	Name	Clock Period	Setup	Src	Fmt	On	Data	Return	Off	Mode	Open	Close	Mode	Comment	
	tset1_wl_chip_top_first_waveset	100.000E-09	GPIO_4		i/o	PAT	NR	0	0.0		0	Edge	=C8*0.750	=C8*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	GPIO_5		i/o	PAT	NR	0	0.0		0	Edge	=C9*0.750	=C9*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	GPIO_3		i/o	PAT	NR	0	0.0		0	Edge	=C10*0.750	=C10*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	GPIO_2		i/o	PAT	RH	0	=C11*0.250	=C11*0.750	0	Edge	=C11*0.750	=C11*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	GPIO_6		i/o	PAT	NR	0	0.0		0	Edge	=C12*0.750	=C12*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_10		i/o	PAT	NR	0	0.0		0	Edge	=C13*0.750	=C13*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_11		i/o	PAT	NR	0	0.0		0	Edge	=C14*0.750	=C14*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_12		i/o	PAT	NR	0	0.0		0	Edge	=C15*0.750	=C15*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_13		i/o	PAT	NR	0	0.0		0	Edge	=C16*0.750	=C16*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_14		i/o	PAT	NR	0	0.0		0	Edge	=C17*0.750	=C17*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_15		i/o	PAT	NR	0	0.0		0	Edge	=C18*0.750	=C18*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_16		i/o	PAT	NR	0	0.0		0	Edge	=C19*0.750	=C19*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	RF_SW_CTRL_17		i/o	PAT	NR	0	0.0		0	Edge	=C20*0.750	=C20*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	LPO_IN		i/o	PAT	NR	0	0			Off			Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	PCIE_CLKREQ_L		i/o	PAT	NR	0	0.0		0	Edge	=C22*0.750	=C22*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	PCI_PME_L		i/o	PAT	NR	0	0.0		0	Edge	=C23*0.750	=C23*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_UART_RXD		i/o	PAT	NR	0	0.0		0	Edge	=C24*0.750	=C24*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_TM1		i/o	PAT	NR	0	0.0		0	Edge	=C25*0.750	=C25*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	PERST_L		i/o	PAT	NR	0	0.0		0	Edge	=C26*0.750	=C26*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	WL_REG_ON		i/o	PAT	NR	0	0			Off			Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_DEV_WAKE		i/o	PAT	NR	0	0.0		0	Edge	=C28*0.750	=C28*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_AJTAG_TDI		i/o	PAT	NR	0	0.0		0	Edge	=C29*0.750	=C29*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_AJTAG_TDO		i/o	PAT	NR	0	0.0		0	Edge	=C30*0.750	=C30*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_I2S_DI		i/o	PAT	NR	0	0.0		0	Edge	=C31*0.750	=C31*1.000	Auto		
	tset1_wl_chip_top_first_waveset	100.000E-09	BT_I2S_DO		i/o	PAT	NR	0	0.0		0	Edge	=C32*0.750	=C32*1.000	Auto		
